video_id,title,published_date,year,month,title_length
e77NkSjnyH4,"AlphaZero and Self Play (David Silver, DeepMind) | AI Podcast Clips",2020-04-04,2020,4,67
_TTNGq9djU4,"Simon Sinek: Leadership, Hard Work, Optimism and the Infinite Game | Lex Fridman Podcast #82",2020-03-21,2020,3,92
mKtsM2vv0DA,Who is Satoshi Nakamoto? (Vitalik Buterin) | AI Podcast Clips,2020-03-18,2020,3,61
DKyzcbNr8WE,John Hopfield: Physics View of the Mind and Neurobiology | Lex Fridman Podcast #76,2020-02-29,2020,2,82
1k37OcjH7BM,Andrew Ng: Advice on Getting Started in Deep Learning | AI Podcast Clips,2020-02-21,2020,2,72
9mL26U3GGcc,Ray Dalio: Work-Life Balance and the Arc of Life | AI Podcast Clips,2019-12-08,2019,12,67
_tg9F5_P3CY,Ray Dalio: Idea Meritocracy | AI Podcast Clips,2019-12-06,2019,12,46
0-3kw5BEKB8,"Whitney Cummings: Comedy, Robotics, Neurology, and Love | Lex Fridman Podcast #55",2019-12-05,2019,12,81
Rh7tHge2Ymw,"Ray Dalio: Madness, Genius, and the Call for Adventure",2019-12-03,2019,12,54
zk2exSZlR1Y,Ray Dalio: Uncertainty and the Abyss,2019-12-03,2019,12,36
M95m2EFb7IQ,"Ray Dalio: Principles, the Economic Machine, AI &amp; the Arc of Life | Lex Fridman Podcast #54",2019-12-02,2019,12,95
MRcrJHxhWMY,Noam Chomsky: Deepest Property of Language,2019-11-30,2019,11,42
cMscNuSUy0I,"Noam Chomsky: Language, Cognition, and Deep Learning | Lex Fridman Podcast #53",2019-11-29,2019,11,78
Go7sw_plJwA,Gilbert Strang: Why People Like Math,2019-11-28,2019,11,36
YPe5OP7Clv4,Gilbert Strang: Singular Value Decomposition,2019-11-28,2019,11,44
Lz_WksheWqc,Gilbert Strang: MIT OpenCourseWare (OCW),2019-11-27,2019,11,40
kEaX2DAjol8,Dava Newman: Space Suit of the Future,2019-11-23,2019,11,37
tHldJ8-I1NE,Dava Newman: Life on Mars and Beyond,2019-11-23,2019,11,36
2fI6bYnRgSc,"Dava Newman: Space Exploration, Space Suits, and Life on Mars | Lex Fridman Podcast #51",2019-11-22,2019,11,87
vaFhEgLoUe0,Michael Kearns: Differential Privacy,2019-11-21,2019,11,36
6CTJMx64Vbw,Elon Musk: Understanding the Human Brain at Neuralink,2019-11-17,2019,11,53
1soLVufJWLU,Elon Musk: Perception vs Control - What&#39;s Harder?,2019-11-16,2019,11,53
smK9dgdTl40,"Elon Musk: Neuralink, AI, Autopilot, and the Pale Blue Dot | Lex Fridman Podcast #49",2019-11-12,2019,11,84
Dnj0rnlV2aA,Sean Carroll: What is Quantum Entanglement?,2019-11-11,2019,11,43
fjIhFzTUB9I,"Bjarne Stroustrup: Deep Learning, Software 2.0, and Fuzzy Programming",2019-11-09,2019,11,69
G5zCGY0tkq8,Bjarne Stroustrup: C++ Zero-Overhead Principle and Object-Oriented Programming,2019-11-08,2019,11,78
uTxRF5ag27A,Bjarne Stroustrup: C++ | Lex Fridman Podcast #48,2019-11-07,2019,11,48
9GV4QmQWJGU,Sean Carroll: Hilbert Space and Infinity,2019-11-06,2019,11,40
F0UjC6wfqmc,Sean Carroll: Perception vs Reality,2019-11-05,2019,11,35
ZR3xQ7ouPew,Sean Carroll: Quantum Gravity | AI Podcast Clips,2019-11-02,2019,11,48
